PROVIDER;DESCRIPTION;ACCOUNTID;REGION;ASSESSMENTDATE;REQUIREMENTS_ID;REQUIREMENTS_DESCRIPTION;REQUIREMENTS_ATTRIBUTES_SECTION;REQUIREMENTS_ATTRIBUTES_SUBSECTION;REQUIREMENTS_ATTRIBUTES_SUBGROUP;REQUIREMENTS_ATTRIBUTES_SERVICE;REQUIREMENTS_ATTRIBUTES_TYPE;STATUS;STATUSEXTENDED;RESOURCEID;CHECKID;MUTED;RESOURCENAME;FRAMEWORK;NAME;REQUIREMENTS_ATTRIBUTES_COMMENT
aws;The AWS Foundational Security Best Practices standard is a set of controls that detect when your deployed accounts and resources deviate from security best practices.;334960985321;eu-north-1;2026-04-06 19:21:44.104332;Account.1;This control checks if an Amazon Web Services (AWS) account has security contact information. The control fails if security contact information is not provided for the account.;Account;;;Account;;MANUAL;Login to the AWS Console. Choose your account name on the top right of the window -> My Account -> Alternate Contacts -> Security Section.;arn:aws:iam::334960985321:root;account_security_contact_information_is_registered;False;334960985321;AWS-Foundational-Security-Best-Practices;AWS Foundational Security Best Practices;
aws;The AWS Foundational Security Best Practices standard is a set of controls that detect when your deployed accounts and resources deviate from security best practices.;334960985321;eu-north-1;2026-04-06 19:21:44.104332;CloudTrail.1;This control checks that there is at least one multi-Region CloudTrail trail.;CloudTrail;;;CloudTrail;;FAIL;No CloudTrail trails enabled with logging were found.;arn:aws:cloudtrail:eu-north-1:334960985321:trail;cloudtrail_multi_region_enabled;False;334960985321;AWS-Foundational-Security-Best-Practices;AWS Foundational Security Best Practices;
aws;The AWS Foundational Security Best Practices standard is a set of controls that detect when your deployed accounts and resources deviate from security best practices.;334960985321;eu-north-1;2026-04-06 19:21:44.104332;Config.1;This control checks whether AWS Config is enabled in the account for the local Region and is recording all resources. The AWS Config service performs configuration management of supported AWS resources in your account and delivers log files to you. The recorded information includes the configuration item (AWS resource), relationships between configuration items, and any configuration changes between resources.;Config;;;Config;;FAIL;AWS Config recorder 334960985321 is disabled.;arn:aws:config:eu-north-1:334960985321:recorder;config_recorder_all_regions_enabled;False;334960985321;AWS-Foundational-Security-Best-Practices;AWS Foundational Security Best Practices;
aws;The AWS Foundational Security Best Practices standard is a set of controls that detect when your deployed accounts and resources deviate from security best practices.;334960985321;eu-north-1;2026-04-06 19:21:44.104332;EC2.7;This control checks whether account-level encryption is enabled by default for Amazon Elastic Block Store(Amazon EBS). The control fails if the account level encryption is not enabled.;EC2;;;EC2;;FAIL;EBS Default Encryption is not activated.;arn:aws:ec2:eu-north-1:334960985321:volume;ec2_ebs_default_encryption;False;334960985321;AWS-Foundational-Security-Best-Practices;AWS Foundational Security Best Practices;
aws;The AWS Foundational Security Best Practices standard is a set of controls that detect when your deployed accounts and resources deviate from security best practices.;334960985321;eu-north-1;2026-04-06 19:21:44.104332;EC2.3;This control checks whether the EBS volumes that are in an attached state are encrypted. To pass this check, EBS volumes must be in use and encrypted. If the EBS volume is not attached, then it is not subject to this check.;EC2;;;EC2;;FAIL;EBS Snapshot vol-0e5fdadc95af04884 is unencrypted.;arn:aws:ec2:eu-north-1:334960985321:volume/vol-0e5fdadc95af04884;ec2_ebs_volume_encryption;False;vol-0e5fdadc95af04884;AWS-Foundational-Security-Best-Practices;AWS Foundational Security Best Practices;
aws;The AWS Foundational Security Best Practices standard is a set of controls that detect when your deployed accounts and resources deviate from security best practices.;334960985321;eu-north-1;2026-04-06 19:21:44.104332;EC2.28;This control evaluates if an Amazon EBS volume in in-use state is covered by a backup plan. The control fails if an EBS volume isn't covered by a backup plan. If you set the backupVaultLockCheck parameter equal to true, the control passes only if the EBS volume is backed up in an AWS Backup locked vault.;EC2;;;EC2;;FAIL;EBS Volume vol-0e5fdadc95af04884 is not protected by a backup plan.;arn:aws:ec2:eu-north-1:334960985321:volume/vol-0e5fdadc95af04884;ec2_ebs_volume_protected_by_backup_plan;False;vol-0e5fdadc95af04884;AWS-Foundational-Security-Best-Practices;AWS Foundational Security Best Practices;
aws;The AWS Foundational Security Best Practices standard is a set of controls that detect when your deployed accounts and resources deviate from security best practices.;334960985321;eu-north-1;2026-04-06 19:21:44.104332;EC2.8;This control checks whether your EC2 instance metadata version is configured with Instance Metadata Service Version 2 (IMDSv2). The control passes if HttpTokens is set to required for IMDSv2. The control fails if HttpTokens is set to optional.;EC2;;;EC2;;PASS;EC2 Instance i-07155be449979bd7a has IMDSv2 enabled and required.;arn:aws:ec2:eu-north-1:334960985321:instance/i-07155be449979bd7a;ec2_instance_imdsv2_enabled;False;i-07155be449979bd7a;AWS-Foundational-Security-Best-Practices;AWS Foundational Security Best Practices;
aws;The AWS Foundational Security Best Practices standard is a set of controls that detect when your deployed accounts and resources deviate from security best practices.;334960985321;eu-north-1;2026-04-06 19:21:44.104332;SSM.1;This control checks whether the EC2 instances in your account are managed by AWS Systems Manager. Systems Manager is an AWS service that you can use to view and control your AWS infrastructure. To help you to maintain security and compliance, Systems Manager scans your managed instances. A managed instance is a machine that is configured for use with Systems Manager. Systems Manager then reports or takes corrective action on any policy violations that it detects. Systems Manager also helps you to configure and maintain your managed instances.;SSM;;;SSM;;PASS;EC2 Instance i-07155be449979bd7a is unmanaged by Systems Manager because it is stopped.;arn:aws:ec2:eu-north-1:334960985321:instance/i-07155be449979bd7a;ec2_instance_managed_by_ssm;False;i-07155be449979bd7a;AWS-Foundational-Security-Best-Practices;AWS Foundational Security Best Practices;
aws;The AWS Foundational Security Best Practices standard is a set of controls that detect when your deployed accounts and resources deviate from security best practices.;334960985321;eu-north-1;2026-04-06 19:21:44.104332;EC2.4;This control checks whether any EC2 instances have been stopped for more than the allowed number of days. An EC2 instance fails this check if it is stopped for longer than the maximum allowed time period, which by default is 30 days.;EC2;;;EC2;;PASS;EC2 Instance i-07155be449979bd7a is not running.;arn:aws:ec2:eu-north-1:334960985321:instance/i-07155be449979bd7a;ec2_instance_older_than_specific_days;False;i-07155be449979bd7a;AWS-Foundational-Security-Best-Practices;AWS Foundational Security Best Practices;
aws;The AWS Foundational Security Best Practices standard is a set of controls that detect when your deployed accounts and resources deviate from security best practices.;334960985321;eu-north-1;2026-04-06 19:21:44.104332;EC2.24;This control checks whether the virtualization type of an EC2 instance is paravirtual. The control fails if the virtualizationType of the EC2 instance is set to paravirtual.;EC2;;;EC2;;PASS;EC2 Instance i-07155be449979bd7a virtualization type is set to HVM.;arn:aws:ec2:eu-north-1:334960985321:instance/i-07155be449979bd7a;ec2_instance_paravirtual_type;False;i-07155be449979bd7a;AWS-Foundational-Security-Best-Practices;AWS Foundational Security Best Practices;
aws;The AWS Foundational Security Best Practices standard is a set of controls that detect when your deployed accounts and resources deviate from security best practices.;334960985321;eu-north-1;2026-04-06 19:21:44.104332;EC2.9;This control checks whether EC2 instances have a public IP address. The control fails if the publicIp field is present in the EC2 instance configuration item. This control applies to IPv4 addresses only.;EC2;;;EC2;;PASS;EC2 Instance i-07155be449979bd7a does not have a Public IP.;arn:aws:ec2:eu-north-1:334960985321:instance/i-07155be449979bd7a;ec2_instance_public_ip;False;i-07155be449979bd7a;AWS-Foundational-Security-Best-Practices;AWS Foundational Security Best Practices;
aws;The AWS Foundational Security Best Practices standard is a set of controls that detect when your deployed accounts and resources deviate from security best practices.;334960985321;eu-north-1;2026-04-06 19:21:44.104332;EC2.17;This control checks whether an EC2 instance uses multiple Elastic Network Interfaces (ENIs) or Elastic Fabric Adapters (EFAs). This control passes if a single network adapter is used. The control includes an optional parameter list to identify the allowed ENIs.;EC2;;;EC2;;PASS;EC2 Instance i-07155be449979bd7a uses only one ENI: ( Interfaces: ['eni-0d7a9a731c74902b1'] ).;arn:aws:ec2:eu-north-1:334960985321:instance/i-07155be449979bd7a;ec2_instance_uses_single_eni;False;i-07155be449979bd7a;AWS-Foundational-Security-Best-Practices;AWS Foundational Security Best Practices;
aws;The AWS Foundational Security Best Practices standard is a set of controls that detect when your deployed accounts and resources deviate from security best practices.;334960985321;eu-north-1;2026-04-06 19:21:44.104332;EC2.21;This control checks if default ports for SSH/RDP ingress traffic for network access control lists (NACLs) is unrestricted. The rule fails if a NACL inbound entry allows a source CIDR block of '0.0.0.0/0' or '::/0' for ports 22 or 3389.;EC2;;;EC2;;FAIL;Network ACL acl-0ab4dc19b8a45d225 has SSH port 22 open to the Internet.;arn:aws:ec2:eu-north-1:334960985321:network-acl/acl-0ab4dc19b8a45d225;ec2_networkacl_allow_ingress_tcp_port_22;False;acl-0ab4dc19b8a45d225;AWS-Foundational-Security-Best-Practices;AWS Foundational Security Best Practices;
