ACCOUNTID,REGION,Service,Finding,STATUS,Risk Score,Risk Level,Treatment,FAIR_ALE_USD
334960985321.0,eu-north-1,EC2,This control checks whether account-level encryption is enabled by default for Amazon Elastic Block Store(Amazon EBS). The control fails if the account level encryption is not enabled.,FAIL,19000.0,Critical,Fix Immediately,2550000.0
334960985321.0,eu-north-1,EC2,"This control checks whether the EBS volumes that are in an attached state are encrypted. To pass this check, EBS volumes must be in use and encrypted. If the EBS volume is not attached, then it is not subject to this check.",FAIL,19000.0,Critical,Fix Immediately,2550000.0
334960985321.0,eu-north-1,EC2,"This control evaluates if an Amazon EBS volume in in-use state is covered by a backup plan. The control fails if an EBS volume isn't covered by a backup plan. If you set the backupVaultLockCheck parameter equal to true, the control passes only if the EBS volume is backed up in an AWS Backup locked vault.",FAIL,19000.0,Critical,Fix Immediately,2550000.0
334960985321.0,eu-north-1,EC2,This control checks if default ports for SSH/RDP ingress traffic for network access control lists (NACLs) is unrestricted. The rule fails if a NACL inbound entry allows a source CIDR block of '0.0.0.0/0' or '::/0' for ports 22 or 3389.,FAIL,19000.0,Critical,Fix Immediately,2550000.0
334960985321.0,eu-north-1,EC2,This control checks if default ports for SSH/RDP ingress traffic for network access control lists (NACLs) is unrestricted. The rule fails if a NACL inbound entry allows a source CIDR block of '0.0.0.0/0' or '::/0' for ports 22 or 3389.,FAIL,19000.0,Critical,Fix Immediately,2550000.0
334960985321.0,eu-north-1,EC2,This control checks whether an Amazon EC2 security group allows ingress from 0.0.0.0/0 or ::/0 to port 22. The control fails if the security group allows ingress from 0.0.0.0/0 or ::/0 to port 22.,FAIL,19000.0,Critical,Fix Immediately,2550000.0
334960985321.0,eu-north-1,EC2,This control checks if default ports for SSH/RDP ingress traffic for network access control lists (NACLs) is unrestricted. The rule fails if a NACL inbound entry allows a source CIDR block of '0.0.0.0/0' or '::/0' for ports 22 or 3389.,FAIL,19000.0,Critical,Fix Immediately,2550000.0
334960985321.0,eu-north-1,EC2,Enable and set up AWS Inspector.,FAIL,19000.0,Critical,Fix Immediately,2550000.0
334960985321.0,eu-north-1,EC2,This control checks if default ports for SSH/RDP ingress traffic for network access control lists (NACLs) is unrestricted. The rule fails if a NACL inbound entry allows a source CIDR block of '0.0.0.0/0' or '::/0' for ports 22 or 3389.,FAIL,19000.0,Critical,Fix Immediately,2550000.0
334960985321.0,eu-north-1,EC2,This control checks if default ports for SSH/RDP ingress traffic for network access control lists (NACLs) is unrestricted. The rule fails if a NACL inbound entry allows a source CIDR block of '0.0.0.0/0' or '::/0' for ports 22 or 3389.,FAIL,19000.0,Critical,Fix Immediately,2550000.0
